Company,Peak Date,Peak Price,Status,Category,Sector,Industry,Market Cap (Cr),Market Cap Category
SUNPHARMA,2022-03-30,920.6,New ATH,0,Healthcare,Pharmaceuticals,415997.0,Large Cap
HAL,2022-03-31,742.45,New ATH,0,Defense & Aerospace,Defence Manufacturing,303958.0,Large Cap
TITAN,2022-03-22,2712.75,New ATH,0,Consumer Goods,Luxury Goods & Watches,299761.0,Large Cap
ADANIENT,2022-03-31,2014.75,New ATH,0,Conglomerates,Industrial Conglomerates,292342.0,Large Cap
ADANIPOWER,2022-03-31,185.1,New ATH,0,Energy,Renewable Energy – Power Generation,227444.0,Large Cap
TRENT,2022-03-23,1300.25,New ATH,0,Consumer Services,Retail – Apparel & Lifestyle,179290.0,Large Cap
VEDL,2022-03-28,413.4,New ATH,0,Metals & Mining,Oil & Gas Exploration & Production,169945.0,Large Cap
HINDALCO,2022-03-29,631.3,New ATH,0,Metals & Mining,Aluminum & Copper,154789.0,Large Cap
CIPLA,2022-03-15,1068.05,New ATH,0,Healthcare,Pharmaceuticals,125961.0,Large Cap
CHOLAFIN,2022-03-30,733.45,New ATH,0,Financial Services,Non-Banking Financial Company (NBFC),124334.0,Large Cap
CHOLAFIN,2022-03-30,733.45,New ATH,0,Financial Services,Non-Banking Financial Company (NBFC),124334.0,Large Cap
INDHOTEL,2022-03-30,241.25,New ATH,0,Consumer Services,Hotels & Resorts,106031.0,Large Cap
JINDALSTEL,2022-03-29,535.05,New ATH,0,Metals & Mining,Steel – Long Products,100259.0,Large Cap
JINDALSTEL,2022-03-29,535.05,New ATH,0,Metals & Mining,Steel – Long Products,100259.0,Large Cap
BSE,2022-03-14,336.72,New ATH,0,Financial Services,Stock Exchanges,99806.0,Large Cap
CUMMINSIND,2022-03-29,1122.65,New ATH,0,Capital Goods,Engine & Auto Components,99290.0,Large Cap
SRF,2022-03-30,2705.85,New ATH,0,Chemicals,Specialty Chemicals,91492.0,Large Cap
SCHAEFFLER,2022-03-31,1942.0,New ATH,0,Capital Goods,Auto Components & Systems,63589.0,Large Cap
LINDEINDIA,2022-03-31,3784.9,New ATH,0,Chemicals,Industrial Gases,56434.0,Large Cap
NH,2022-03-29,749.15,New ATH,0,Power,Power Generation,39601.0,Large Cap
TATAELXSI,2022-03-28,9035.5,New ATH,0,Technology,IT Services & Embedded Systems,38000.0,Large Cap
KEI,2022-03-31,1261.0,New ATH,0,Capital Goods,Cables & Wires,37279.0,Large Cap
AWL,2022-03-31,516.9,New ATH,0,FMCG,Consumer Food Products,34773.0,Large Cap
SUMICHEM,2022-03-31,448.5,New ATH,0,Chemicals,Specialty Chemicals,32557.0,Large Cap
BRIGADE,2022-03-17,529.15,New ATH,0,Real Estate,Real Estate Development,24130.0,Large Cap
ANGELONE,2022-03-21,1644.6,New ATH,0,Financial Services,Brokerage,23915.0,Large Cap
MANYAVAR,2022-03-31,966.95,New ATH,0,Consumer Discretionary,Apparel,19172.0,Mid Cap
RATNAMANI,2022-03-31,1728.9,New ATH,0,Industrials,Engineering & Construction,18839.0,Mid Cap
CENTURYPLY,2022-03-23,719.7,New ATH,0,Materials,Plywood & Veneer,16292.0,Mid Cap
SARDAEN,2022-03-22,116.86,New ATH,0,Materials,Mining,15748.0,Mid Cap
INTELLECT,2022-03-31,945.75,New ATH,0,Technology,IT Services,14711.0,Mid Cap
GMDCLTD,2022-03-28,191.8,New ATH,0,Materials,                Mining - Industrial Minerals,12811.0,Mid Cap
BALRAMCHIN,2022-03-14,502.05,New ATH,0,Consumer Staples,        FMCG - Packaged Foods,11940.0,Mid Cap
USHAMART,2022-03-31,134.5,New ATH,0,Industrials,                Industrial Machinery,11522.0,Mid Cap
SAPPHIRE,2022-03-31,296.44,New ATH,0,Consumer Discretionary,    Apparel & Accessories,10321.0,Mid Cap
RHIM,2022-03-29,629.2,New ATH,0,Materials,                Specialty Materials,10194.0,Mid Cap
KPIGREEN,2022-03-31,61.78,New ATH,0,Industrials,Renewable Energy Equipment,10158.0,Mid Cap
MAHSEAMLES,2022-03-22,290.12,New ATH,0,Materials,Steel - Seamless Pipes,9245.0,Mid Cap
GNFC,2022-03-31,844.45,New ATH,0,Materials,Chemicals - Fertilizers,8026.0,Mid Cap
MAHLIFE,2022-03-31,395.2,New ATH,0,Financial Services,Insurance,7736.0,Mid Cap
TIIL,2022-03-17,1057.15,New ATH,0,Materials, Cement & Construction Materials,7561.0,Mid Cap
GANESHHOUC,2022-03-24,279.0,New ATH,0,Materials,Chemicals - Fertilizers,7554.0,Mid Cap
TRIVENI,2022-03-14,333.35,New ATH,0,Industrials,Engineering - Equipment & Services,7520.0,Mid Cap
AHLUCONT,2022-03-31,471.05,New ATH,0,Industrials, Construction Materials,6780.0,Mid Cap
VIPIND,2022-03-30,747.5,New ATH,0,Capital Goods,Industrial Machinery,6580.0,Mid Cap
GOKEX,2022-03-22,416.3,New ATH,0,Energy,Energy - Renewable,6519.0,Mid Cap
GHCL,2022-03-28,561.8,New ATH,0,Materials, Chemicals,6076.0,Mid Cap
JKPAPER,2022-03-22,316.45,New ATH,0,Materials, Paper & Forest Products,5997.0,Mid Cap
GAEL,2022-03-28,133.82,New ATH,0,Materials,Chemicals,5033.0,Mid Cap
GREENPANEL,2022-03-31,585.45,New ATH,0,Consumer Cyclical   ,Home Furnishings,3923.0,Small Cap
VISHNU,2022-03-28,345.55,New ATH,0,Financial Services,Asset Management,3799.0,Small Cap
POLYPLEX,2022-03-31,2424.9,New ATH,0,Materials,Chemicals,3492.0,Small Cap
MAITHANALL,2022-03-22,1430.2,New ATH,0,Materials           ,Metals - Ferro Alloys,3223.0,Small Cap
FCL,2022-03-31,180.7,New ATH,0,Consumer Defensive  ,Food Products,3051.0,Small Cap
DEEPINDS,2022-03-30,120.12,New ATH,0,Materials           ,Chemicals & Additives,3039.0,Small Cap
MONARCH,2022-03-17,102.1,New ATH,0,Industrials          ,Chemicals - Specialty Chemicals,2919.0,Small Cap
XPROINDIA,2022-03-24,1075.83,New ATH,0,Materials           ,Packaging Materials (Plastic Films),2497.0,Small Cap
GENESYS,2022-03-23,617.1,New ATH,0,Technology          ,IT Services & Analytics,2468.0,Small Cap
SEAMECLTD,2022-03-30,1377.85,New ATH,0,Materials,Building Materials - Cement,2062.0,Small Cap
SPIC,2022-03-22,74.15,New ATH,0,Materials, Chemicals,2042.0,Small Cap
ASTEC,2022-03-30,1771.65,New ATH,0,Industrials,Construction Materials  ,1938.0,Small Cap
JINDRILL,2022-03-22,264.7,New ATH,0,Industrials,Oil & Gas Equipment & Services,1844.0,Small Cap
KERNEX,2022-03-15,173.15,New ATH,0,Industrials,Electrical Equipment  ,1745.0,Small Cap
NIITLTD,2022-03-31,621.7,New ATH,0,Technology,Education Services,1585.0,Small Cap
BCLIND,2022-03-24,51.12,New ATH,0,Materials,Mining,1325.0,Small Cap
AVTNPL,2022-03-31,130.45,New ATH,0,Consumer Cyclical,Building Products & Equipment,1140.0,Small Cap
PASHUPATI,2022-03-21,124.95,New ATH,0,Materials,Metal & Glass Containers,1091.0,Small Cap
CREATIVE,2022-03-30,746.0,New ATH,0,Communication Services,Advertising,988.0,Small Cap
TIMKEN,2022-03-23,2226.0,New ATH,0,Industrials,Industrial Machinery,,Unknown
MBAPL,2022-03-24,111.62,New ATH,0,Industrials         ,Defense & Aerospace Manufacturing,,Unknown
INGERRAND,2022-03-29,1663.05,New ATH,0,Industrials,Engineering - Industrial Equipment,,Unknown
KRISHANA,2022-03-25,142.35,New ATH,0,Agriculture,Agriculture & Allied Industries,,Unknown
BSHSL,2022-03-17,45.64,New ATH,0,Consumer Discretionary,Household Durables  ,,Unknown
MADRASFERT,2022-03-29,55.25,New ATH,0,Materials,        Fertilizers & Agricultural Chemicals,,Unknown
JAGSNPHARM,2022-03-31,125.42,New ATH,0,Health Care,Pharmaceuticals  ,,Unknown
AVADHSUGAR,2022-03-14,787.8,New ATH,0,Consumer Staples,Food Products,,Unknown
STEELCAS,2022-03-31,348.4,New ATH,0,Industrials,Capital Goods,,Unknown
BDL,2022-03-17,299.75,New ATH,0,Defense & Aerospace,Defense Manufacturing,,Unknown
POWERINDIA,2022-03-03,3852.7,New ATH,0,Capital Goods,Industrial Equipment,,Unknown
RELIANCE,2022-03-30,1233.57,Within 5% of ATH,5,Energy,Conglomerates & Oil & Gas,1908213.0,Large Cap
BHARTIARTL,2022-03-31,754.95,Within 5% of ATH,5,Telecommunication,Telecom Services,1159408.0,Large Cap
INFY,2022-03-31,1906.85,Within 5% of ATH,5,Technology,IT Services,631034.0,Large Cap
BEL,2022-03-09,74.15,Within 5% of ATH,5,Defense & Aerospace,Defence Manufacturing,282523.0,Large Cap
POWERGRID,2022-03-03,163.39,Within 5% of ATH,5,Utilities,Power Transmission & Distribution,268741.0,Large Cap
JSWSTEEL,2022-03-29,753.9,Within 5% of ATH,5,Metals & Mining,Steel – Flat Products,253814.0,Large Cap
VBL,2022-03-23,131.47,Within 5% of ATH,5,Consumer Goods,FMCG – Beverages,176570.0,Large Cap
ADANIGREEN,2022-03-03,1950.9,Within 5% of ATH,5,Energy,Renewable Energy – Power Generation,163834.0,Large Cap
SOLARINDS,2022-03-31,2796.5,Within 5% of ATH,5,Energy,Renewable Energy – Solar,130930.0,Large Cap
