Company,Peak Date,Peak Price,Status,Category,Sector,Industry,Market Cap (Cr),Market Cap Category
BHARTIARTL,2021-11-25,765.15,New ATH,0,Telecommunication,Telecom Services,1133643.0,Large Cap
ADANIENT,2021-11-25,1763.05,New ATH,0,Conglomerates,Industrial Conglomerates,291200.0,Large Cap
POWERGRID,2021-12-02,160.88,New ATH,0,Utilities,Power Transmission & Distribution,271671.0,Large Cap
INDIGO,2021-11-16,2364.4,New ATH,0,Transportation,Airlines,222366.0,Large Cap
TRENT,2021-11-16,1190.35,New ATH,0,Consumer Services,Retail – Apparel & Lifestyle,177308.0,Large Cap
ADANIGREEN,2021-12-14,1436.35,New ATH,0,Energy,Renewable Energy – Power Generation,163209.0,Large Cap
BAJAJHLDNG,2021-12-10,5578.15,New ATH,0,Financial Services,Financial Holdings & Investments,154266.0,Large Cap
LTIM,2021-11-17,7397.05,New ATH,0,Technology,IT Services,149532.0,Large Cap
TECHM,2021-12-14,1642.7,New ATH,0,Technology,IT Services,142186.0,Large Cap
SOLARINDS,2021-11-23,2861.4,New ATH,0,Energy,Renewable Energy – Solar,130826.0,Large Cap
MAXHEALTH,2021-12-13,399.4,New ATH,0,Healthcare,Hospitals & Healthcare Services,122131.0,Large Cap
LODHA,2021-12-01,745.2,New ATH,0,Real Estate,Real Estate Development,119689.0,Large Cap
ABB,2021-12-13,2307.6,New ATH,0,Capital Goods,Engineering & Electrical Equipment,117498.0,Large Cap
SIEMENS,2021-12-14,2515.9,New ATH,0,Capital Goods,Electrical Equipment & Power Distribution,108852.0,Large Cap
MUTHOOTFIN,2021-11-15,1712.8,New ATH,0,Financial Services,Non-Banking Financial Company (NBFC),105889.0,Large Cap
APOLLOHOSP,2021-11-17,5733.95,New ATH,0,Healthcare,Hospitals & Healthcare Services,105739.0,Large Cap
CGPOWER,2021-12-14,182.0,New ATH,0,Capital Goods,Power Equipment & Electricals,103660.0,Large Cap
BSE,2021-12-14,254.59,New ATH,0,Financial Services,Stock Exchanges,99396.0,Large Cap
TORNTPOWER,2021-12-07,585.9,New ATH,0,Utilities,Power Generation & Distribution,67407.0,Large Cap
SCHAEFFLER,2021-12-14,1678.49,New ATH,0,Capital Goods,Auto Components & Systems,63433.0,Large Cap
UNOMINDA,2021-12-13,519.3,New ATH,0,Capital Goods,Auto Components & Systems,61135.0,Large Cap
NYKAA,2021-12-01,415.52,New ATH,0,Consumer Services,Fashion & Beauty e-Commerce,59750.0,Large Cap
PHOENIXLTD,2021-11-15,560.58,New ATH,0,Healthcare,Pharmaceutical Distribution,53983.0,Large Cap
GLAXO,2021-12-10,1882.6,New ATH,0,Healthcare,Pharmaceuticals,52310.0,Large Cap
LTTS,2021-11-17,5675.5,New ATH,0,Technology,IT Services,44980.0,Large Cap
THERMAX,2021-12-10,1845.85,New ATH,0,Capital Goods,Industrial Equipment,44333.0,Large Cap
APLAPOLLO,2021-12-14,1058.95,New ATH,0,Healthcare,Hospitals & Diagnostics,41691.0,Large Cap
NH,2021-12-14,601.75,New ATH,0,Power,Power Generation,40665.0,Large Cap
KPRMILL,2021-12-14,556.35,New ATH,0,Materials,Textiles – Technical Products,40288.0,Large Cap
CRISIL,2021-11-17,3392.65,New ATH,0,Financial Services,Financial Data & Analytics,39461.0,Large Cap
ESCORTS,2021-12-09,1878.6,New ATH,0,Automobile & Auto Components,Farm & Construction Equipment,38161.0,Large Cap
TATAELXSI,2021-11-15,6619.3,New ATH,0,Technology,IT Services & Embedded Systems,37590.0,Large Cap
KEI,2021-12-06,1223.8,New ATH,0,Capital Goods,Cables & Wires,37342.0,Large Cap
POONAWALLA,2021-12-14,218.35,New ATH,0,Consumer Goods,Consumer Foods,32680.0,Large Cap
