SYMBOL,AVG_DELIV_QTY,NEW_DELIV_QTY,PCT_DEVIATION
20MICRONS,206494.9,77548,-62.45
3MINDIA,3577.2,7937,121.88
3PLAND,3930.9,1486,-62.2
AAATECH,33958.0,10391,-69.4
AADHARHFC,733619.4,194300,-73.51
AARON,15339.3,100908,557.84
AARTECH,94556.8,26400,-72.08
AARTIDRUGS,239197.4,87079,-63.6
ABB,210198.7,56368,-73.18
ABDL,323588.6,89739,-72.27
ABGSEC,876.6,31,-96.46
ABSLBANETF,351250.1,4111,-98.83
ABSLLIQUID,3044.4,192,-93.69
ABSLNN50ET,17363.6,2962,-82.94
ABSLPSE,110251.3,40451,-63.31
ACC,162182.0,588976,263.16
ACLGATI,153208.6,71241,-53.5
ACMESOLAR,1143600.6,381448,-66.64
ACUTAAS,164386.4,43412,-73.59
ADANIENSOL,368517.2,768711,108.6
ADANIENT,146234.8,60907,-58.35
ADANIPOWER,1443090.4,662871,-54.07
ADROITINFO,51570.3,21430,-58.45
ADVANIHOTR,37288.8,13978,-62.51
ADVENZYMES,121569.9,37138,-69.45
AEGISVOPAK,946998.5,283697,-70.04
AEROENTER,238749.7,112196,-53.01
AFCONS,816290.0,297154,-63.6
AFIL,854827.4,324088,-62.09
AFSL,64531.1,20008,-68.99
AGARIND,11957.8,5531,-53.75
AGARWALEYE,139144.7,64613,-53.56
AGROPHOS,22171.0,42258,90.6
AIIL,77010.8,126325,64.04
AJANTPHARM,141065.9,41778,-70.38
AKG,45533.8,22653,-50.25
AKSHARCHEM,7786.9,3123,-59.89
AKUMS,154588.6,33045,-78.62
ALBERTDAVD,3049.2,997,-67.3
ALICON,6624.3,2869,-56.69
ALIVUS,53725.5,9726,-81.9
ALKALI,7527.7,3334,-55.71
ALLDIGI,4391.8,6760,53.92
ALOKINDS,7590007.6,2525755,-66.72
ALPHA,561217.8,1060324,88.93
ALPL30IETF,551972.9,244189,-55.76
AMBICAAGAR,25976.9,3439,-86.76
ANANDRATHI,168533.7,61857,-63.3
ANIKINDS,6391.0,2031,-68.22
ANTHEM,11788475.0,1254565,-89.36
ANUHPHR,117439.6,51659,-56.01
AONELIQUID,22692.7,5889,-74.05
APCOTEXIND,14330.6,6757,-52.85
APLAPOLLO,322752.7,541416,67.75
APOLLO,984788.9,1981294,101.19
APOLLOPIPE,68780.8,143712,108.94
APOLSINHOT,1747.1,705,-59.65
APTUS,815867.0,1621571,98.75
ARFIN,267806.5,64450,-75.93
ARIES,39179.0,14725,-62.42
ARIHANTSUP,69193.9,9526,-86.23
AROGRANITE,10069.8,19245,91.12
ARVIND,81581.7,186307,128.37
ARVINDFASN,268797.5,72692,-72.96
ASAHIINDIA,128198.0,58435,-54.42
ASHOKLEY,4144103.2,7626089,84.02
ASMS,249141.8,120373,-51.68
ASPINWALL,1582.7,7213,355.74
ASTRAMICRO,142328.2,69618,-51.09
ASTRAZEN,10002.3,4609,-53.92
ATHERENERG,340489.5,85473,-74.9
ATL,242561.0,94295,-61.13
ATULAUTO,25981.6,81766,214.71
AURIONPRO,63095.0,181461,187.6
AUROPHARMA,312262.4,629390,101.56
AUTOAXLES,7595.8,25811,239.81
AUTOIND,48817.1,20665,-57.67
AVONMORE,243610.88,84775,-65.2
AVROIND,42785.5,4538,-89.39
AWL,2912936.7,702840,-75.87
AXISBNKETF,12000.5,467,-96.11
AXISCETF,1660.4,288,-82.65
AXISGOLD,374216.3,2860017,664.27
AXISNIFTY,18999.6,1855,-90.24
AXISTECETF,68435.3,9062,-86.76
AXISVALUE,9723.9,69038,609.98
AXSENSEX,4364.7,565,-87.06
AYMSYNTEX,13448.6,5429,-59.63
BAIDFIN,318548.5,147542,-53.68
BAJAJHFL,2492479.4,5126333,105.67
BAJAJHLDNG,15812.0,93708,492.64
BALAJEE,139266.4,38593,-72.29
BALAXI,261951.9,75322,-71.25
BALKRISHNA,18651.2,2679,-85.64
BALKRISIND,247786.1,650690,162.6
BANARBEADS,3492.5,1416,-59.46
BANARISUG,844.8,348,-58.81
BANG,8360.5,2662,-68.16
BANKA,16824.7,7961,-52.68
BANKBARODA,2911972.4,5312021,82.42
BANKETF,3514.2,619,-82.39
BANKIETF,715429.6,28769,-95.98
BANKNIFTY1,134229.5,17095,-87.26
BANKPSU,7418.1,40256,442.67
BANSALWIRE,163568.0,81750,-50.02
BANSWRAS,13900.2,100946,626.22
BASF,9231.2,16293,76.5
