SYMBOL,AVG_TTL_TRD_QNTY,AVG_DELIV_QTY
1018GS2026,205.0,205.0
20MICRONS,662966.0,186384.8
21STCENMGM,11267.4,6835.0
360ONE,3854487.7,2400829.8
3IINFOLTD,424699.7,207973.5
3MINDIA,9686.1,5358.7
3PLAND,5702.1,3791.3
574GS2026,302.0,298.0
5PAISA,21151.5,10079.9
610GS2031,2501.0,2501.0
628GS2032,100.0,100.0
63MOONS,210664.0,94131.3
654GS2032,9500.0,9500.0
664GS2027,150.0,150.0
667GS2035,2000.0,2000.0
667GS2050,3100.0,3100.0
676GS2061,1.0,1.0
68GS2060,4673.0,4673.0
690GS2065,2228.0,2128.0
699GS2051,5004.0,5003.0
702GS2031,1000.0,1000.0
706GS2028,4000.0,4000.0
709GS2054,4.0,2.0
709GS2074,5400.0,3600.0
710GS2029,276.0,276.0
717GS2030,6700.0,6700.0
718GS2037,30800.0,30800.0
723GS2039,100.0,100.0
725GS2063,320429.0,320429.0
726GS2029,1.0,1.0
726GS2032,7750.0,7750.0
733GS2026,300.0,300.0
734GS2064,48902.0,48902.0
736GS2052,10.0,10.0
738GS2027,30602.0,27802.0
73GS2053,2.0,1.0
741GS2036,14100.0,10000.0
746GS2073,2600.0,2400.0
74GS2062,1010.0,1010.0
754GS2036,443028.0,406792.0
772GS2055,16.0,16.0
788GS2030,48.0,48.0
795GS2032,3000.0,3000.0
824GS2027,14000.0,14000.0
83GS2042,100.0,100.0
92GS2030,14952.0,14952.0
AAATECH,42993.5,22592.1
AADHARHFC,1705285.1,588116.7
AAKAAR,473600.0,252800.0
AARON,146868.2,29860.5
AARTECH,80249.6,44253.8
AARTIDRUGS,587807.7,159400.2
AARTIIND,1533999.9,665575.6
AARTIPHARM,223803.1,113362.6
AARVI,10496.9,6976.8
AATMAJ,10000.0,10000.0
AAVAS,77250.8,36884.0
ABAN,81040.0,50745.7
ABB,372360.4,161166.0
ABBOTINDIA,6461.0,2903.4
ABCAPITAL,3443009.3,1654081.9
ABCOTS,5250.0,3750.0
ABDL,578127.8,257068.2
ABFRL,5355456.9,2813179.5
ABGSEC,1124.9,819.6
ABHAPOWER,67200.0,59200.0
ABLBL,1461826.3,969751.2
ABREL,214595.9,105249.8
ABSLAMC,411764.0,235831.6
ABSLBANETF,127671.5,122850.3
ABSLLIQUID,1524.7,1288.1
ABSLNN50ET,10328.2,6668.1
ABSLPSE,123778.3,83916.0
ABSMARINE,35500.0,33500.0
ACC,539582.6,309007.8
ACCELYA,6599.3,3869.7
ACCENTMIC,36500.0,28000.0
ACCPL,26400.0,21600.0
ACCURACY,165161.9,125905.9
ACE,133327.8,71061.5
ACEINTEG,4361.1,2588.4
ACI,184042.6,68229.6
ACL,52391.1,34380.3
ACLGATI,248141.4,109983.8
ACMESOLAR,2912950.9,863162.6
ACTIVEINFR,600.0,600.0
ACUTAAS,244330.7,110443.8
ADANIENSOL,1070202.1,446254.8
ADANIENT,413262.1,119852.5
ADANIGREEN,2075900.9,533440.0
ADANIPORTS,839184.2,370107.0
ADANIPOWER,2735956.9,960703.6
ADFFOODS,109672.4,53117.0
ADOR,7681.4,4450.4
ADROITINFO,76407.4,53375.3
ADSL,111665.1,53287.9
ADVANIHOTR,45689.9,26983.8
ADVENZYMES,464377.1,198466.4
AEGISLOG,215160.0,90846.4
AEGISVOPAK,1339307.5,595854.0
AEROENTER,382710.0,194795.2
AEROFLEX,3113378.9,806773.9
AERON,133000.0,102000.0
AESTHETIK,28000.0,28000.0
AETHER,172518.8,71952.9
AFCONS,2140738.9,953002.9
AFFLE,258228.8,98914.7
AFFORDABLE,57572.7,28773.1
AFIL,963794.6,546941.9
AFSL,80860.7,33998.1
AGARIND,22023.1,11197.3
AGARWALEYE,282592.7,138323.8
AGARWALFT,16500.0,15000.0
AGARWALTUF,42000.0,42000.0
AGI,1520990.1,215049.4
AGIIL,175532.4,80394.5
AGNI,2500.0,2500.0
AGRITECH,22103.4,8484.9
AGROPHOS,280096.2,124255.0
AHLADA,11367.8,7312.1
AHLEAST,8249.2,6508.7
AHLUCONT,74534.9,50588.0
AIAENG,32554.5,24038.2
AIIL,601770.7,179214.3
AILIMITED,1500.0,1500.0
AIMTRON,92000.0,66800.0
AIRAN,123523.5,72517.6
AIROLAM,6149.5,3950.4
AIRTELPP,516644.0,477568.0
AISL,1800.0,1800.0
AJANTPHARM,100516.4,41107.2
AJAXENGG,87984.7,43624.9
AJMERA,191087.9,44224.0
AJOONI,435505.2,319033.3
AKANKSHA,24000.0,24000.0
AKASH,8784.0,5860.1
AKG,52270.3,28910.9
AKIKO,102400.0,57600.0
AKSHARCHEM,12720.9,7848.4
AKSHOPTFBR,157355.3,93198.2
AKUMS,163553.2,100823.9
AKZOINDIA,53866.3,27169.3
ALANKIT,445158.5,238641.5
ALBERTDAVD,3761.9,2526.0
ALEMBICLTD,323432.5,145469.6
ALICON,8568.1,3886.1
ALIVUS,56003.5,30408.1
ALKALI,12027.7,7144.7
ALKEM,78409.2,45709.6
ALKYLAMINE,40993.1,17472.0
ALLCARGO,2561254.5,1021780.5
ALLDIGI,17369.1,11373.4
ALLETEC,17600.0,11600.0
ALMONDZ,248473.1,148172.5
ALOKINDS,40495534.0,6092690.9
ALPA,16366.5,11508.7
ALPEXSOLAR,35200.0,25600.0
ALPHA,968279.3,622851.6
ALPHAETF,382601.6,258644.4
ALPHAGEO,14137.3,5491.2
ALPL30IETF,761622.2,586085.3
ALUWIND,33000.0,31500.0
AMBANIORGO,6000.0,5000.0
AMBER,387456.7,108282.2
AMBEY,26000.0,18000.0
AMBICAAGAR,15666.9,10012.5
AMBIKCO,5384.7,3162.6
AMBUJACEM,2647450.3,1516777.2
AMDIND,11068.6,5798.6
AMEYA,2000.0,2000.0
AMIABLE,1600.0,1600.0
AMJLAND,31677.3,18959.8
AMNPLST,7220.8,3874.3
AMRUTANJAN,20826.9,12655.1
ANANDRATHI,317254.4,106093.1
ANANTRAJ,3276829.1,948669.3
ANDHRAPAP,194705.0,98970.5
ANDHRSUGAR,158195.0,78185.1
ANGELONE,1248310.5,217525.3
ANIKINDS,12882.7,7520.0
ANLON,1600.0,1600.0
ANMOL,47519.0,29509.7
ANNAPURNA,90000.0,48750.0
ANTGRAPHIC,286294.4,204634.5
ANTHEM,10303641.0,5187052.5
ANUHPHR,428743.5,84557.2
ANUP,21917.3,10741.2
ANURAS,98746.4,64641.4
ANYA,105000.0,75000.0
AONELIQUID,27585.1,24002.9
AONENIFTY,203485.3,153721.0
AONETOTAL,532940.8,305238.7
APARINDS,205127.9,51748.2
APCOTEXIND,49504.7,21023.7
APEX,85534.3,32202.6
APEXECO,6400.0,4800.0
APLAPOLLO,1004938.9,557786.0
APLLTD,86127.6,34354.6
APOLLO,4954008.8,1470646.3
APOLLOHOSP,333181.6,228902.2
APOLLOPIPE,120100.8,64660.5
APOLLOTYRE,761614.4,308802.3
APOLSINHOT,1654.9,862.3
APRAMEYA,15000.0,15000.0
APS,29250.0,28500.0
APTUS,1233634.7,798439.7
ARABIAN,10000.0,10000.0
ARCHIDPLY,105261.6,27976.0
ARE&M,624416.6,277625.5
ARFIN,271369.0,99670.29
ARHAM,5000.0,4000.0
ARIES,102084.5,42849.8
ARIHANTACA,400.0,400.0
ARIHANTCAP,1721597.8,479662.8
ARIHANTSUP,69653.6,27089.7
ARISINFRA,742173.7,342467.7
ARISTO,1600.0,1600.0
ARKADE,1414407.6,494507.9
ARMANFIN,21947.9,12169.8
AROGRANITE,14052.4,9384.9
ARROWGREEN,51867.67,32325.33
ARTEMISMED,99889.8,49467.7
ARUNAYA,50000.0,48000.0
ARVEE,1173.6,629.3
ARVIND,438869.0,166484.6
ARVINDFASN,1212829.0,444682.5
ARVINDPORT,3000.0,3000.0
ARVSMART,245851.4,94093.9
