Source,Headline,Link,Category,Time
Money Control,Gland Pharma share price falls 2.27% in early trade; stock among top midcap losers,https://www.moneycontrol.com/news/business/stocks/gland-pharma-share-price-falls-2-27-in-early-trade-stock-among-top-midcap-losers-alpha-article-13365611.html,Stock,2025-08-01 10:22:00
Money Control,3M India shares rise 2.02% in morning trade,https://www.moneycontrol.com/news/business/stocks/3m-india-shares-rise-2-02-in-morning-trade-alpha-article-13365616.html,Stock,2025-08-01 10:21:00
Money Control,Ipca Laboratories shares fall over 2% in morning trade; stock among top losers on Nifty Midcap 150,https://www.moneycontrol.com/news/business/stocks/ipca-laboratories-shares-fall-over-2-in-morning-trade-stock-among-top-losers-on-nifty-midcap-150-alpha-article-13365622.html,Stock,2025-08-01 10:20:00
Money Control,ITC shares gain 0.64% in morning trade,https://www.moneycontrol.com/news/business/stocks/itc-shares-gain-0-64-in-morning-trade-alpha-article-13365633.html,Stock,2025-08-01 10:20:00
Money Control,Tata Motors shares fall 2.09% in morning trade,https://www.moneycontrol.com/news/business/stocks/tata-motors-shares-fall-2-09-in-morning-trade-alpha-article-13365656.html,Stock,2025-08-01 10:19:00
Money Control,Pharma stocks slump as Trump shoots letters to 17 global drug majors seeking lower prices,https://www.moneycontrol.com/news/business/markets/pharma-stocks-slump-as-trump-shoots-letters-to-17-global-drug-major-seeking-lower-prices-13365619.html,Stock,2025-08-01 10:17:00
Investing.com,Canada PM says he is disappointed as Trump orders tariff hike,https://www.investing.com/news/commodities-news/canada-pm-says-he-is-disappointed-as-trump-orders-tariff-hike-4164854,Industry,2025-08-01 04:57:32
Investing.com,Banks brace for key UK Supreme Court ruling on car finance commissions,https://www.investing.com/news/stock-market-news/banks-brace-for-key-uk-supreme-court-ruling-on-car-finance-commissions-4164781,Stock,2025-08-01 04:57:09
Investing.com,China’s solar giants quietly shed a third of their workforces last year,https://www.investing.com/news/stock-market-news/chinas-solar-giants-quietly-shed-a-third-of-their-workforces-last-year-4164853,Stock,2025-08-01 04:56:46
Investing.com,NIO shares jump 10% after official launch of its new Onvo L90 SUV,https://www.investing.com/news/stock-market-news/nio-shares-jump-10-after-official-launch-of-its-new-onvo-l90-suv-4164850,Stock,2025-08-01 04:51:45
Investing.com,Fintech firms rush to raise equity in Hong Kong to tap crypto frenzy,https://www.investing.com/news/stock-market-news/fintech-firms-rush-to-raise-equity-in-hong-kong-to-tap-crypto-frenzy-4164849,Stock,2025-08-01 04:50:46
Economic Times,"PNB Housing Finance shares tank 16% after resignation of MD & CEO, Girish Kousgi",https://economictimes.indiatimes.com/markets/stocks/news/pnb-housing-finance-shares-tank-16-after-resignation-of-md-ceo-girish-kousgi/articleshow/123035002.cms,Stock,2025-08-01 04:54:28
Economic Times,Deepak Reddy takes charge as new CEO of Manappuram Finance Ltd.,https://economictimes.indiatimes.com/industry/banking/finance/deepak-reddy-takes-charge-as-new-ceo-of-manappuram-finance-ltd-/articleshow/123034810.cms,Finance,2025-08-01 04:50:17
Economic Times,Jonathan Schiessl sees limited impact on India from US tariff moves,https://economictimes.indiatimes.com/markets/expert-view/jonathan-schiessl-sees-limited-impact-on-india-from-us-tariff-moves/articleshow/123035035.cms,Markets,2025-08-01 04:45:20
NDTV Profit,PNB Housing Finance Shares Plunge Over 15% After Resignation Of CEO  Girish Kousgi,https://www.ndtvprofit.com/markets/pnb-housing-finance-shares-plunge-over-15-after-resignation-of-ceo-girish-kousgi?src=tl_story,Markets,2025-08-01 10:18:00
Money Control,Infant industry paradox: Trump's tariffs raise questions about US protectionism,https://www.moneycontrol.com/news/opinion/infant-industry-paradox-trump-s-tariffs-raise-questions-about-us-protectionism-13362983.html,Economy,2025-08-01 09:49:00
Money Control,Shanti Gold shares list at 14% premium over IPO price on NSE; check post-listing strategy,https://www.moneycontrol.com/news/business/ipo/shanti-gold-share-price-stock-lists-at-14pc-premium-over-ipo-price-on-nse-13365304.html,IPOs,2025-08-01 10:05:00
Money Control,Tata Consultancy Services shares fall marginally in early trade,https://www.moneycontrol.com/news/business/stocks/tata-consultancy-services-shares-fall-marginally-in-early-trade-2-alpha-article-13365443.html,Stock,2025-08-01 10:01:00
Money Control,Larsen & Toubro shares fall 0.91% in early trade,https://www.moneycontrol.com/news/business/stocks/larsen-toubro-shares-fall-0-91-in-early-trade-alpha-article-13365470.html,Stock,2025-08-01 10:01:00
Money Control,JSW Energy shares rise 3.31% in early trade,https://www.moneycontrol.com/news/business/stocks/jsw-energy-shares-rise-3-31-in-early-trade-alpha-article-13365474.html,Stock,2025-08-01 10:00:00
Money Control,Strong market debut: Patel Chem Specialities shares list at 31% premium to SME IPO price,https://www.moneycontrol.com/news/business/ipo/strong-market-debut-patel-chem-specialities-shares-list-at-31-premium-to-sme-ipo-price-13365548.html,Stock,2025-08-01 10:03:00
Money Control,Eicher Motors shares rise 2.13% in early trade,https://www.moneycontrol.com/news/business/stocks/eicher-motors-shares-rise-2-13-in-early-trade-alpha-article-13365478.html,Stock,2025-08-01 09:58:00
Money Control,Mahindra and Mahindra shares fall 2.09% in early trade,https://www.moneycontrol.com/news/business/stocks/mahindra-and-mahindra-shares-fall-2-09-in-early-trade-alpha-article-13365480.html,Stock,2025-08-01 09:57:00
Money Control,Eicher Motors shares rise 4% after Q1; Morgan Stanley sees 25% downside,https://www.moneycontrol.com/news/business/markets/eicher-motors-shares-rise-4-after-q1-morgan-stanley-sees-25-downside-13365454.html,Stock,2025-08-01 09:58:00
Money Control,Suzlon Energy shares surge 4.95% amid high volume in early trade,https://www.moneycontrol.com/news/business/stocks/suzlon-energy-shares-surge-4-95-amid-high-volume-in-early-trade-alpha-article-13365484.html,Stock,2025-08-01 09:57:00
Money Control,Britannia Industries shares rise 2.10% in early trade,https://www.moneycontrol.com/news/business/stocks/britannia-industries-shares-rise-2-10-in-early-trade-alpha-article-13365402.html,Stock,2025-08-01 09:49:00
Money Control,Apar Industries share price falls 2.33% in early trade,https://www.moneycontrol.com/news/business/stocks/apar-industries-share-price-falls-2-33-in-early-trade-alpha-article-13365403.html,Stock,2025-08-01 09:49:00
Money Control,Gujarat Gas shares rise 2.16% in early trade,https://www.moneycontrol.com/news/business/stocks/gujarat-gas-shares-rise-2-16-in-early-trade-alpha-article-13365407.html,Stock,2025-08-01 09:49:00
Money Control,"Cipla shares fall 2.34%, stock among top losers on Nifty 50",https://www.moneycontrol.com/news/business/stocks/cipla-shares-fall-2-34-stock-among-top-losers-on-nifty-50-alpha-article-13365414.html,Stock,2025-08-01 09:48:00
