SYMBOL,AVG_TTL_TRD_QNTY,NEW_TTL_TRD_QNTY,PCT_DEVIATION
21STCENMGM,11267.4,4705,-58.24
360ONE,3854487.7,1243584,-67.74
3PLAND,5702.1,143666,2419.53
5PAISA,21151.5,9943,-52.99
AAATECH,42993.5,12649,-70.58
AADHARHFC,1705285.1,396541,-76.75
AARON,146868.2,40354,-72.52
AARTIIND,1533999.9,7184197,368.33
ABCAPITAL,3443009.3,8649553,151.22
ABDL,578127.8,1521105,163.11
ABGSEC,1124.9,2189,94.6
ABREL,214595.9,91635,-57.3
ABSLBANETF,127671.5,13647,-89.31
ABSLNN50ET,10328.2,78237,657.51
ACC,539582.6,1524691,182.57
ACCURACY,165161.9,69290,-58.05
ACI,184042.6,351038,90.74
ACL,52391.1,7729,-85.25
ACUTAAS,244330.7,2101738,760.2
ADANIENT,413262.1,1457616,252.71
ADANIPORTS,839184.2,1412892,68.36
ADFFOODS,109672.4,189777,73.04
ADROITINFO,76407.4,18063,-76.36
ADVENZYMES,464377.1,1151618,147.99
AEROENTER,382710.0,652863,70.59
AEROFLEX,3113378.9,1143361,-63.28
AFCONS,2140738.9,660320,-69.15
AFFORDABLE,57572.7,11488,-80.05
AFSL,80860.7,13379,-83.45
AGI,1520990.1,177475,-88.33
AGRITECH,22103.4,4915,-77.76
AGROPHOS,280096.2,635783,126.99
AIIL,601770.7,127725,-78.78
AJAXENGG,87984.7,184674,109.89
AJMERA,191087.9,90551,-52.61
AKG,52270.3,83806,60.33
AKSHARCHEM,12720.9,2703,-78.75
AKUMS,163553.2,734458,349.06
AKZOINDIA,53866.3,15472,-71.28
ALBERTDAVD,3761.9,10103,168.56
ALICON,8568.1,1668,-80.53
ALKALI,12027.7,4547,-62.2
ALKEM,78409.2,118293,50.87
ALKYLAMINE,40993.1,181995,343.96
ALLDIGI,17369.1,82561,375.33
ALOKINDS,40495534.0,9237096,-77.19
ALPA,16366.5,30428,85.92
ALPL30IETF,761622.2,219714,-71.15
AMBUJACEM,2647450.3,5782494,118.42
AMDIND,11068.6,4050,-63.41
AMJLAND,31677.3,71459,125.58
AMRUTANJAN,20826.9,7253,-65.17
ANANDRATHI,317254.4,112764,-64.46
ANDHRAPAP,194705.0,62032,-68.14
ANGELONE,1248310.5,455411,-63.52
ANIKINDS,12882.7,3913,-69.63
ANTGRAPHIC,286294.4,770366,169.08
ANTHEM,10303641.0,1353708,-86.86
ANUHPHR,428743.5,55581,-87.04
ANUP,21917.3,32952,50.35
AONELIQUID,27585.1,12231,-55.66
APARINDS,205127.9,339981,65.74
APCOTEXIND,49504.7,140043,182.89
APEX,85534.3,215999,152.53
APTUS,1233634.7,3679379,198.26
ARCHIDPLY,105261.6,25731,-75.56
ARFIN,271369.0,79522,-70.7
ARIES,102084.5,242615,137.66
ARIHANTCAP,1721597.8,322585,-81.26
ARIHANTSUP,69653.6,23108,-66.82
ARISINFRA,742173.7,218629,-70.54
ARKADE,1414407.6,653938,-53.77
AROGRANITE,14052.4,4008,-71.48
ARVSMART,245851.4,82488,-66.45
ASAHIINDIA,282922.9,136231,-51.85
ASAL,76344.1,36748,-51.87
ASHOKAMET,139725.6,974022,597.1
ASHOKLEY,7276051.4,11333155,55.76
ASIANENE,605309.3,1785538,194.98
ASIANHOTNR,3200.0,9485,196.41
ASIANPAINT,726655.9,1274735,75.42
ASKAUTOLTD,186564.9,321649,72.41
ASTERDM,687780.8,2688715,290.93
ATAM,14682.5,6869,-53.22
ATGL,484933.4,970390,100.11
ATUL,46907.0,12178,-74.04
AURIONPRO,159093.2,65748,-58.67
AUROPHARMA,694846.2,5490626,690.19
AURUM,357307.6,123245,-65.51
AUTOAXLES,26039.5,10163,-60.97
AUTOIETF,715953.0,297138,-58.5
AVADHSUGAR,30188.9,9071,-69.95
AVANTIFEED,379811.6,1485825,291.2
AVG,35347.6,11425,-67.68
AVONMORE,239135.7,625120,161.41
AVROIND,39702.7,83925,111.38
AVTNPL,303905.9,69261,-77.21
AWL,6568158.1,830652,-87.35
AXISBNKETF,11427.4,642,-94.38
AXISBPSETF,642550.1,68212,-89.38
AXISCETF,1983.4,8726,339.95
AXISGOLD,709237.8,231933,-67.3
AXISILVER,284928.2,139695,-50.97
AXSENSEX,3900.5,513,-86.85
AYMSYNTEX,41451.3,18647,-55.01
BAFNAPH,4115.0,684,-83.38
BAIDFIN,377998.2,84572,-77.63
BAJAJCON,1276894.6,434924,-65.94
BAJAJHCARE,254391.4,125588,-50.63
BALAMINES,54145.9,145943,169.54
BALKRISHNA,19793.7,9119,-53.93
BALMLAWRIE,260261.6,127262,-51.1
BALPHARMA,11962.9,26425,120.89
BANARISUG,695.4,324,-53.41
BANG,10010.7,4478,-55.27
BANKBETF,21750.1,6690,-69.24
BANKETFADD,11548.2,42541,268.38
BANKNIFTY1,66592.2,10895,-83.64
BANKPSU,12139.7,5572,-54.1
BANSALWIRE,263924.7,60722,-76.99
BANSWRAS,41012.6,9320,-77.28
BARBEQUE,63106.6,336997,434.01
BBNPPGOLD,1721.2,827,-51.95
BBTC,83660.5,28428,-66.02
BCLIND,1983239.9,609146,-69.29
BCONCEPTS,7673.7,2265,-70.48
BELRISE,14005816.3,22973671,64.03
BEPL,369381.9,1040710,181.74
BERGEPAINT,362164.5,164767,-54.5
BESTAGRO,151146.4,364993,141.48
BHAGCHEM,146805.7,864451,488.84
BHARATFORG,660588.9,1929438,192.08
BHARATGEAR,78422.7,21667,-72.37
BHARTIHEXA,128312.8,291838,127.44
BIKAJI,366711.5,169109,-53.89
BIL,20199.1,10081,-50.09
BIRLACORPN,318243.3,670677,110.74
BLBLIMITED,136577.4,430361,215.1
BLISSGVS,2209275.7,4838181,118.99
BLKASHYAP,1037480.2,2860345,175.7
BLUEDART,15552.8,27024,73.76
BLUEJET,1551480.0,603289,-61.12
BOMDYEING,15019903.0,1522854,-89.86
BORANA,174535.7,47596,-72.73
BOROLTD,80846.2,36082,-55.37
BORORENEW,1708394.5,509273,-70.19
BOROSCI,385904.7,68188,-82.33
BRNL,397613.75,58103,-85.39
BSLGOLDETF,129246.9,29587,-77.11
BSOFT,1670658.5,4570137,173.55
