SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 23-Jul-2025,274.28,277.0,283.93,272.59,277.0,278.03,279.67,728200.0,2036.57,14338.0, 215890, 29.65
21STCENMGM, EQ, 23-Jul-2025,58.36,58.4,59.49,57.91,58.99,58.98,58.71,3135.0,1.84,89.0, 2308, 73.62
360ONE, EQ, 23-Jul-2025,1144.1,1140.0,1146.4,1122.1,1124.1,1125.0,1131.83,1356863.0,15357.42,44835.0, 710155, 52.34
3IINFOLTD, EQ, 23-Jul-2025,24.5,24.42,24.66,24.0,24.15,24.13,24.19,430481.0,104.15,1242.0, 223189, 51.85
3MINDIA, EQ, 23-Jul-2025,31230.0,31250.0,31695.0,30905.0,31575.0,31525.0,31411.97,13387.0,4205.12,5351.0, 6805, 50.83
3PLAND, EQ, 23-Jul-2025,48.09,48.5,48.59,47.21,47.21,47.66,47.88,4671.0,2.24,211.0, 3450, 73.86
5PAISA, EQ, 23-Jul-2025,395.3,394.0,397.25,392.05,393.95,392.9,393.19,13818.0,54.33,850.0, 8151, 58.99
63MOONS, EQ, 23-Jul-2025,1075.0,1080.0,1100.0,1066.0,1085.0,1083.0,1085.22,223604.0,2426.6,9012.0, 98455, 44.03
AAATECH, EQ, 23-Jul-2025,93.24,94.65,94.65,92.5,93.35,93.54,93.51,18072.0,16.9,471.0, 10604, 58.68
AADHARHFC, EQ, 23-Jul-2025,519.6,520.0,524.9,510.2,516.5,516.75,515.57,597919.0,3082.71,16856.0, 278524, 46.58
AARON, EQ, 23-Jul-2025,397.25,400.0,424.95,397.4,406.7,407.25,411.7,60289.0,248.21,3558.0, 20029, 33.22
AARTECH, EQ, 23-Jul-2025,69.73,69.97,70.84,69.11,69.31,69.43,69.97,101771.0,71.21,1172.0, 64435, 63.31
AARTIDRUGS, EQ, 23-Jul-2025,536.75,539.35,541.8,527.9,535.0,534.6,532.38,236441.0,1258.76,11676.0, 77423, 32.75
AARTIIND, EQ, 23-Jul-2025,422.95,422.95,429.9,417.5,427.6,427.0,422.61,1665826.0,7039.93,39786.0, 608166, 36.51
AARTIPHARM, EQ, 23-Jul-2025,934.6,940.95,969.5,930.05,947.0,946.9,954.96,529024.0,5051.97,31680.0, 277790, 52.51
AARVI, EQ, 23-Jul-2025,106.31,106.66,107.37,105.71,106.07,106.09,106.05,3204.0,3.4,132.0, 2354, 73.47
AAVAS, EQ, 23-Jul-2025,1902.7,1908.0,1921.1,1882.6,1904.9,1901.1,1895.8,53716.0,1018.35,8978.0, 18877, 35.14
ABAN, EQ, 23-Jul-2025,50.78,50.78,51.1,50.11,50.3,50.32,50.59,45129.0,22.83,514.0, 33770, 74.83
ABB, EQ, 23-Jul-2025,5755.0,5771.5,5788.0,5675.0,5705.5,5711.0,5701.16,186980.0,10660.03,21782.0, 95365, 51.00
ABBOTINDIA, EQ, 23-Jul-2025,34130.0,34150.0,34950.0,34035.0,34850.0,34735.0,34376.24,7134.0,2452.4,2656.0, 4033, 56.53
ABCAPITAL, EQ, 23-Jul-2025,268.55,269.0,269.85,264.6,268.65,268.6,267.94,1964251.0,5262.99,26061.0, 933473, 47.52
ABDL, EQ, 23-Jul-2025,482.4,486.0,486.05,471.95,475.1,473.7,478.11,190332.0,910.0,6567.0, 91361, 48.00
ABFRL, EQ, 23-Jul-2025,75.64,76.1,76.11,74.84,75.7,75.73,75.38,6615907.0,4986.91,21346.0, 4167567, 62.99
ABGSEC, EQ, 23-Jul-2025,110.51,110.34,110.75,110.34,110.74,110.66,110.6,587.0,0.65,21.0, 414, 70.53
ABLBL, EQ, 23-Jul-2025,153.3,153.3,154.04,150.9,151.0,151.55,152.06,2156511.0,3279.28,26425.0, 1481949, 68.72
ABREL, EQ, 23-Jul-2025,2136.8,2137.5,2153.8,1992.2,2019.0,2018.3,2037.29,660397.0,13454.19,50721.0, 179784, 27.22
ABSLAMC, EQ, 23-Jul-2025,897.4,881.85,889.2,869.05,878.05,878.35,875.99,395557.0,3465.04,35203.0, 205800, 52.03
ABSLBANETF, EQ, 23-Jul-2025,57.9,57.51,58.5,57.51,58.5,58.2,58.17,116638.0,67.84,356.0, 114707, 98.34
ABSLLIQUID, EQ, 23-Jul-2025,1000.0,1000.0,1000.01,999.99,999.99,999.99,1000.0,1204.0,12.04,10.0, 1125, 93.44
ABSLNN50ET, EQ, 23-Jul-2025,71.15,70.4,71.89,70.4,71.25,71.11,70.97,10481.0,7.44,221.0, 6384, 60.91
ABSLPSE, EQ, 23-Jul-2025,10.18,10.34,10.35,10.12,10.18,10.18,10.17,110700.0,11.26,559.0, 95780, 86.52
ACC, EQ, 23-Jul-2025,1958.9,1967.9,1967.9,1915.3,1946.4,1950.0,1937.34,569821.0,11039.4,21912.0, 289930, 50.88
ACCELYA, EQ, 23-Jul-2025,1414.5,1421.5,1421.8,1403.3,1415.0,1414.0,1410.62,3171.0,44.73,790.0, 1887, 59.51
ACCURACY, EQ, 23-Jul-2025,7.68,7.68,7.79,7.62,7.63,7.66,7.67,119900.0,9.2,504.0, 86220, 71.91
ACE, EQ, 23-Jul-2025,1144.6,1156.6,1156.6,1133.9,1144.9,1140.6,1140.16,153723.0,1752.69,13503.0, 79825, 51.93
ACEINTEG, EQ, 23-Jul-2025,25.61,26.0,26.6,25.53,26.3,26.3,26.27,3526.0,0.93,68.0, 1926, 54.62
ACI, EQ, 23-Jul-2025,691.25,685.15,701.0,675.8,693.05,697.85,688.18,203618.0,1401.26,12296.0, 78221, 38.42
ACL, EQ, 23-Jul-2025,67.9,68.99,68.99,67.53,68.0,68.06,68.21,16750.0,11.42,347.0, 11433, 68.26
ACLGATI, EQ, 23-Jul-2025,69.55,69.7,70.34,68.74,69.81,69.82,69.39,105176.0,72.98,1514.0, 44150, 41.98
ACMESOLAR, EQ, 23-Jul-2025,283.83,284.71,287.71,279.06,286.0,286.19,283.4,932959.0,2643.97,23833.0, 429233, 46.01
ACUTAAS, EQ, 23-Jul-2025,1177.6,1185.0,1208.0,1175.1,1190.0,1187.2,1194.1,217489.0,2597.04,16502.0, 114502, 52.65
ADANIENSOL, EQ, 23-Jul-2025,867.2,871.7,874.1,861.5,862.5,863.1,866.09,724832.0,6277.68,19685.0, 361497, 49.87
ADANIENT, EQ, 23-Jul-2025,2587.8,2600.7,2625.9,2593.5,2615.5,2614.5,2612.73,316424.0,8267.32,24447.0, 95937, 30.32
ADANIGREEN, EQ, 23-Jul-2025,1013.7,1018.4,1038.3,1017.0,1034.0,1033.9,1032.52,1733780.0,17901.6,38801.0, 430548, 24.83
